merchant,category
swiggy,Food
zomato,Food
dominos,Food
uber ind,Transport
ola,Transport
amazon,Shopping
flipkart,Shopping
reliance smart,Groceries
google i,Subscriptions
netflix,Subscriptions
mohan la, Tea and ciggaretts
rapido,Transport
soma maj,Tea and ciggaretts
aishwary, Food
indian r, Transport
indranic, Food
subho mi, Tea and ciggaretts
ujjal  s,Food
sayak  m, Subscriptions
aamar ko, Transport
ananya g, Personal expenses
srabani, Personal expenses
the smok, Tea and ciggaretts
zepto ma, groceries
dcr to, Investments
deployed, shopping
rdb tea , Food
ach/bd utimf , Investments
tarun gh, Tea and ciggaretts
wow momo, Food
avijit T, Food
lucky mo, Tea and ciggaretts
kajal mo, Tea and ciggaretts
biswajit, Tea and ciggaretts
mr sanka , Tea and ciggaretts
inkhub, Shopping
gita ren , Rent
atm wdr, Cash Withdrawal


